outcome	result_reldir	n_seeds	nested_n	estimate	ci_lower	ci_upper	ci_half_width	nested_estimate	nested_change	relative_precision_defined	relative_ci_half_width	relative_nested_change
matches_per_agent	oat/N=1500	20	10	4.93352	4.923798564527996	4.943241435472004	0.009721435472004103	4.933413333333333	0.00010666666666647728	true	0.0019704866853694934	2.1620803537125072e-5
matches_per_agent	oat/N=500	20	10	4.86821	4.845463162341272	4.890956837658729	0.022746837658728758	4.86808	0.00013000000000040757	true	0.004672525971297203	2.670386035121894e-5
matches_per_agent	oat/delta=0.0	20	10	4.960065	4.951649362651338	4.968480637348662	0.00841563734866213	4.95972	0.00034500000000026176	true	0.0016966788436567123	6.955554009882164e-5
matches_per_agent	oat/delta=0.25	20	10	4.926304999999999	4.912246093597674	4.940363906402324	0.0140589064023251	4.92543	0.0008749999999988489	true	0.002853844088485204	0.0001776179103808735
matches_per_agent	oat/delta=0.75	20	10	4.91259	4.894431111499843	4.9307488885001565	0.018158888500156678	4.91193	0.0006599999999998829	true	0.003696398132178073	0.00013434868368821393
matches_per_agent	oat/delta=1.0	20	10	4.910835	4.893336133844855	4.928333866155144	0.017498866155144732	4.91416	0.0033250000000002444	true	0.0035633178787608894	0.0006770742653744719
matches_per_agent	oat/eta=0.0	20	10	4.8902600000000005	4.870879227767031	4.90964077223297	0.01938077223296908	4.89186	0.0015999999999998238	true	0.003963137385940436	0.00032718096788306216
matches_per_agent	oat/eta=0.001	20	10	4.893695	4.875231344021581	4.912158655978419	0.018463655978418814	4.88948	0.004215000000000302	true	0.003772947839703703	0.0008613123621313346
matches_per_agent	oat/eta=0.01	20	10	4.92049	4.904578561437662	4.9364014385623385	0.015911438562338454	4.92531	0.004819999999999602	true	0.0032337101716167402	0.000979577237226293
matches_per_agent	oat/eta=0.03	20	10	4.915985000000001	4.899035121247394	4.932934878752608	0.016949878752607006	4.91739	0.0014049999999992124	true	0.00344791099903824	0.00028580233666278726
matches_per_agent	oat/k=12	20	10	4.920945000000001	4.906182947388454	4.935707052611547	0.014762052611546395	4.927	0.006054999999999033	true	0.0029998410084945866	0.0012304547195709427
matches_per_agent	oat/k=4	20	10	4.916155	4.901747888151241	4.930562111848759	0.01440711184875898	4.92153	0.005374999999999908	true	0.0029305650144796046	0.0010933341198558443
matches_per_agent	oat/n_strangers=0	20	10	4.916125	4.900585780091904	4.931664219908096	0.015539219908095703	4.92268	0.0065549999999996444	true	0.003160867534510555	0.0013333672353733163
