broker_service	rho	eta	seed	metric	late_value
access_only	0.0	0.0	15	broker_holdout_rank	0.8599515009380863
access_only	0.0	0.0	15	broker_net_output_per_requested_position	4.842192211978643
access_only	0.0	0.0	15	broker_selected_rank	0.9267855028409681
access_only	0.0	0.0	15	mean_degree	56.85744999999999
access_only	0.0	0.0	15	net_output_per_requested_position	4.867462082033877
access_only	0.0	0.0	15	outsourcing_rate	0.46323923091370434
access_only	0.0	0.0	15	q_gap	-0.058351006206644705
access_only	0.0	0.0	15	rank_gap	0.20746500938086304
access_only	0.0	0.0	15	self_fill_rate	0.9997030486429702
access_only	0.0	0.0	15	self_net_output_per_requested_position	4.8892121409578975
access_only	0.0	0.0	16	access_fraction	0.008459256863165671
access_only	0.0	0.0	16	agent_holdout_rank	0.6703120075046906
access_only	0.0	0.0	16	betweenness	0.15217864414282412
access_only	0.0	0.0	16	broker_fill_rate	0.9969100417109965
access_only	0.0	0.0	16	broker_holdout_rank	0.8884963414634145
access_only	0.0	0.0	16	broker_net_output_per_requested_position	4.797334275321437
access_only	0.0	0.0	16	broker_selected_rank	0.9451395180399029
access_only	0.0	0.0	16	mean_degree	64.0526
access_only	0.0	0.0	16	net_output_per_requested_position	4.778886018976245
access_only	0.0	0.0	16	outsourcing_rate	0.5401917826847702
access_only	0.0	0.0	16	q_gap	0.04458059625248012
access_only	0.0	0.0	16	rank_gap	0.21818433395872402
access_only	0.0	0.0	16	self_fill_rate	0.999476686443488
access_only	0.0	0.0	16	self_net_output_per_requested_position	4.757291302725511
access_only	0.0	0.0	17	access_fraction	0.0075137052817006375
access_only	0.0	0.0	17	agent_holdout_rank	0.6758224202626641
access_only	0.0	0.0	17	betweenness	0.17396420798430517
access_only	0.0	0.0	17	broker_fill_rate	0.9979455547883246
access_only	0.0	0.0	17	broker_holdout_rank	0.8093826454033772
access_only	0.0	0.0	17	broker_net_output_per_requested_position	5.423196569867882
access_only	0.0	0.0	17	broker_selected_rank	0.9619442931718154
access_only	0.0	0.0	17	mean_degree	53.7552
access_only	0.0	0.0	17	net_output_per_requested_position	5.310439581626906
access_only	0.0	0.0	17	outsourcing_rate	0.46934452727945447
